family,title,abstract,applicants,inventors,dates,classes
55133145,"PEPTIDES DERIVED FROM SARCOMA ANTIGEN 1 (SAGE1) AND COMPLEXES COMPRISING SUCH PEPTIDES BOUND TO MHC MOLECULES","The present invention relates to novel peptides derived from Sarcoma antigen 1 (SAGE1), complexes comprising such peptides bound to recombinant MHC molecules, and cells presenting said peptide in complex with MHC molecules. Also provided by the present invention are binding moieties that bind to the peptides and/or complexes of the invention. Such moieties are useful for the development of immunotherapeutic reagents for the treatment of diseases such as cancer.",immunocore ltd[gb]; adaptimmune ltd[gb],powlesland alex[gb]; chester fiona[gb],20181206,A61P35/00;A61P35/00;C07K14/4748;C07K14/4748;A61K38/00;A61K38/00;C07K14/7051;C07K14/70539
49886703,"INFLUENZA-SPECIFIC T-CELL RECEPTOR AND ITS USES IN THE DETECTION, PREVENTION AND/OR TREATMENT OF INFLUENZA","The present invention relates to specific T-cell receptor a-chains, T-cell receptor β-chains and T-cell receptors comprising said T-cell receptor a-chain and/or β-chain. In particular, the invention relates to T-cell receptors and/or chains binding to the influenza matrix peptide GILGFVFTL (GL9 peptide) presented by Human Leukocyte antigen A2 (HLA-A2) molecules. The present invention further relates to soluble TCR constructs, chimeric TCRs, nucleic acids, expression constructs and cells comprising said TCR a-chain and/or β-chain or the respective TCR. The present invention further relates to the use of the TCR a-chain and/or β-chain or the respective TCR or the soluble TCR constructs or chimeric TCRs as a medicament, preferably in the detection, prevention and/or treatment of influenza. The present invention further relates to methods of detecting, preventing and/or treating influenza.",friedrich alexander universität erlangen nürnberg[de],harrer thomas[de]; hückelhoven angela[de],20150625,C07K14/7051;G01N33/56983;A61K38/00;C07K2319/70;G01N2333/11
66101722,"T CELL RECEPTORS FOR IMMUNOTHERAPY","Provided are T cell receptors (TCR) and TCR variable regions that can selectively bind SLC45A2. The TCR may be utilized in various therapies, such as autologous cell transplantation, to treat a cancer, such as a cutaneous melanoma, uveal melanoma, a mucosal melanoma, or a metastatic melanoma. Methods for expanding a population of T cells that target SLC45A2 are also provided.",univ texas[us],lizee gregory[us]; yee cassian[us],20190418,A61K35/17;A61K39/001111;A61K39/00119;C07K14/435;C07K14/7051;A61K2039/5156;A61K2039/5158
38926230,"Modified T cell receptors and related materials and methods","The invention is directed to a modified T cell receptor (TCR) comprising an amino acid sequence of a wild-type (WT) TCR with no more than three amino acid substitutions, wherein the modified TCR, as compared to the WT TCR, (i) has an enhanced ability to recognize target cells when expressed by CD4+ T cells and (ii) does not exhibit a decrease in antigen specificity when expressed by CD8+ T cells. Polypeptides, proteins, nucleic acids, recombinant expression vectors, host cells, populations of cells, antibodies, and pharmaceutical compositions related to the modified TCR also are part of the invention. Further, the invention is directed to methods of detecting a diseased cell in a host, methods of treating or preventing a disease in a host, and methods of identifying a candidate adoptive immunotherapy TCR.",robbins paul f[us]; morgan richard a[us]; rosenberg steven a[us]; bennett alan david[gb]; us health[us]; immunocore ltd[gb],robbins paul f[us]; morgan richard a[us]; rosenberg steven a[us]; bennett alan david[gb],20120103,C07K14/7051;C07K14/7051;G01N33/505;G01N33/505;G01N33/5091;G01N33/5091;A61K38/00;A61K38/00
56985686,"T CELL RECEPTORS RECOGNIZING HLA-CW8 RESTRICTED MUTATED KRAS","Disclosed is an isolated or purified T cell receptor (TCR) having antigenic specificity for mutated Kirsten rat sarcoma viral oncogene homolog (KRAS) presented in the context of an HLA-Cw*0802 molecule. Related polypeptides and proteins, as well as related nucleic acids, recombinant expression vectors, host cells, populations of cells, and pharmaceutical compositions are also provided. Also disclosed are methods of detecting the presence of cancer in a mammal and methods of treating or preventing cancer in a mammal.",us health[us],tran eric[us]; lu yong-chen[us]; rosenberg steven a[us],20170323,C07K14/7051;C07K14/7051;C07K14/82;G01N33/5748;A61K38/00;A61K38/00;G01N2333/82
58548761,"T 세포 수용체","",immunocore ltd[gb],hayes conor; hibbert linda; liddy nathaniel; mahon tara; raman marine,20181212,A61K35/17;A61K47/6801;A61P35/00;A61P35/00;A61P35/00;C07K14/7051;C07K14/7051;C07K14/7051;C07K16/2809;C07K16/2833;C07K16/30;C12N5/0636;C12N15/62;C12N15/62;A61K38/00;C07K2317/56;C07K2317/64;C07K2317/92;C07K2317/94;C07K2319/00;C07K2319/035;C12N2510/00
41008692,"T CELL RECEPTORS","PROBLEM TO BE SOLVED: To provide a T cell receptor (TCR) having the property of binding to the gp100 YLEPGPVTA peptide-HLA-A2 complex and comprising a TCR alpha variable domain and/or a TCR beta variable domain.SOLUTION: A TCR has (i) mutated TCR extracellular alpha and beta chain sequences having specific sequences, and (ii) a binding affinity and/or binding half-life for a YLEPGPVTA-HLA-A2 complex at least twice that of a wild-type TCR, the wild-type TCR having specific extracellular alpha chain sequences and specific extracellular beta chain sequences. The use of such TCRs in adoptive therapy and fusions of such TCRs with therapeutic agents are also described.SELECTED DRAWING: None",immunocore ltd,bent karsten jakobsen; naomi harwood; nathaniel ross liddy,20160324,C07K14/7051;C12N15/09;C07K14/705;C12N15/00
41350560,"T CELL RECEPTOR","PROBLEM TO BE SOLVED: To provide T cell receptor (TCR) capable of recognizing Epstein-Barr virus (EBV) antigen.SOLUTION: The invention provides a TCR that can bind to a peptide of latent infection membrane protein 2 (LMP-2) of EBV of which amino acid sequence is CLGGLLTMV when the peptide is displayed by a major histocompatibility complex (MHC) molecule, a nucleotide sequence encoding the TCR, a vector comprising the nucleotide sequence, and a use method thereof for producing EBV specific T cells. Also provided is a use method of the EBV specific T cells for treating and/or preventing cancer, Burkitt's lymphoma, Hodgkin lymphoma, nasopharyngeal carcinoma, and post transplant B-cell lympho-proliferative disorder which may occur in patients following solid organ or hematopoietic stem cell transplantation.SELECTED DRAWING: None",ucl business plc,hans stauss; hsieh hsiao-an; max topp,20160407,C07K14/7051
47355928,"NOVEL MHC-INDEPENDENT TUMOR-ASSOCIATED ANTIGENS","The present invention relates to novel tumor-associated antigens,which elicit independently from a presentation via MHC a CD8-positive T-cell response. GM-CSF-Receptor alpha chain (CSF2RA) and Tyrosinase-related protein 2 (TRP-2) were found to be targets of CD8-positive T-cell clones which could detect the proteins on the surface of HLA I negative melanoma cells. Thus, the invention provides proteins, protein fragments and polypeptides of the novel antigens for use in medicine, for example for the treatment, diagnosis and prevention of a tumor disease. Furthermore provided are nucleic acids expressing the antigens of the invention, binding agents specific for the antigens of the invention, such as T-cell receptor chains and isolated T cells which are reactive against the antigens of the invention or which express the T-cell receptors of the invention. The invention further pertains to pharmaceutical compositions, especially vaccine compositions, comprising the antigens, nucleic acids, binding agents or T cells in accordance with the invention, and methods for the generation of T cells,which are specifically reactive to the antigens of the invention in an MHC-independent manner.",universitätsmedizin der johannes gutenberg universität mainz[de]; universität duisburg essen[de],schadendorf dirk[de]; paschen anette[de]; lübcke silke[de]; fatho martina[de]; eberts daniela[de]; echchannaoui hakim[de]; lennerz volker[de]; wölfel catherine[de]; wölfel thomas[de],20140619,A61K35/17;A61K39/0011;C07K14/7051;C07K14/7153;C12N9/90;C12N9/90;G01N33/5047;G01N33/5047;G01N33/56972;A61K38/00;A61K38/00;A61K2039/572;A61K2039/585;C12Y503/03012;C12Y503/03012
35429001,"","",,,20071227,C40B40/02;C07K14/7051;C12N15/1037
67903888,"GENE-REGULATING COMPOSITIONS AND METHODS FOR IMPROVED IMMUNOTHERAPY","The present disclosure provides methods and compositions related to the modification of immune effector cells to increase therapeutic efficacy. In some embodiments, immune effector cells modified to reduce expression of one or more endogenous target genes, or to reduce one or more functions of an endogenous protein to enhance effector functions of the immune cells are provided. In some embodiments, immune effector cells further modified by introduction of transgenes conferring antigen specificity, such as exogenous T cell receptors (TCRs) or chimeric antigen receptors (CARs) are provided. Methods of treating a cell proliferative disorder, such as a cancer, using the modified immune effector cells described herein are also provided.",ksq therapeutics inc[us],benson micah[us]; merkin jason[us]; kryukov gregory v[us]; shenker solomon martin[us]; schlabach michael[us]; tubo noah[us],20190919,A61K35/17;A61P35/00;A61P35/00;A61P35/04;A61P35/04;C07K14/7051;C07K14/70517;C07K16/2803;C07K16/2803;C07K16/2863;C07K16/2863;C07K16/32;C07K16/32;C12N5/0636;C12N5/0636;C12N9/104;C12N9/22;C12N9/22;C12N15/11;C12N15/113;C12N15/1135;A61K2039/505;A61K2039/505;C07K2317/24;C07K2317/24;C07K2317/622;C07K2317/622;C07K2319/03;C07K2319/033;C07K2319/30;C12N2310/122;C12N2310/14;C12N2310/14;C12N2310/20;C12N2310/20;C12N2310/531;C12N2510/00;C12N2800/80
64308714,"NOVEL ENGINEERED T CELL RECEPTORS AND IMMUNE THERAPY USING THE SAME","The present invention pertains to antigen recognizing constructs against COL6A3 antigens. The invention in particular provides novel engineered T cell receptor (TCR) based molecules which are selective and specific for the tumor expressing antigen COL6A3. The TCR of the invention, and COL6A3 antigen binding fragments derived therefrom, are of use for the diagnosis, treatment and prevention of COL6A3 expressing cancerous diseases. Further provided are nucleic acids encoding the antigen recognizing constructs of the invention, vectors comprising these nucleic acids, recombinant cells expressing the antigen recognizing constructs and pharmaceutical compositions comprising the compounds of the invention.",immatics biotechnologies gmbh[de],unverdorben felix[de]; bunk sebastian[de]; hofmann martin[de]; hutt meike[de]; maurer dominik[de]; alten leonie[de]; wagner claudia[de],20190509,A61P35/00;A61P35/00;C07K14/7051;C07K14/775;C07K14/78;C07K16/18;C07K16/28;C07K16/2809;C12N5/0636;C12N5/0636;C12N15/62;C12N15/62;C07K2317/31;C07K2317/55;C07K2317/622;C07K2317/73;C07K2317/92;C07K2319/03;C07K2319/33;C12N2510/00
51947188,"USE OF ANTIBODIES FOR ENRICHMENT OF ENGINEERED T CELLS WITH EXOGENOUS IMMUNE RECEPTORS AND ANTIBODIES FOR USE IN DEPLETION OF ENGINEERED T CELLS","The current invention now provides for exogenous immune receptors that do not require any additional selection marker genes and/or any additional suicide genes. The invention now allows for the production of engineered T cells that can be enriched for in an untouched manner, i.e. the engineered T cells do not require any interaction with any outside agent and can selected for by eliminating T cells that express the endogenous alpha beta T cell receptor. Engineered T cells with an exogenous immune receptor are provided that can be differentiated from endogenous T cell receptor and now can be eliminated, i.e. depleted, with a selective antibody that specifically targets the exogenous immune receptor.",umc utrecht holding bv[nl],kuball jürgen herbert ernst[nl],20160526,A61K35/17;C12N5/0636;G01N33/56972;A61K2039/5156;A61K2039/5158;C12N2501/515;C12N2510/00;A61K39/0011;C07K14/7051;C07K16/2809;C07K2317/73
69232312,"T CELL RECEPTOR FOR IDENTIFYING AFP ANTIGEN","A T cell receptor (TCR) capable of specifically binding to a short peptide FMNKFIYEI derived from an AFP antigen. The antigen short peptide FMNKFIYEI can form a complex with HLA A0201 and be presented together with same to the cell surface. A nucleic acid molecule encoding the TCR, a vector comprising the nucleic acid molecule, and a cell that transduces the TCR.",guangdong xiangxue life sciences ltd[cn],li yi[cn]; hu jing[cn]; li jun[cn]; sun hanli[cn],20200206,A61K35/17;A61K35/17;A61K38/17;A61P35/00;A61P35/00;A61P37/02;A61P37/02;C07K14/7051;C12N5/10;C12N15/63;C12N15/86;C12N15/867;C12N2740/15043
54324706,"ISOLATED T CELL RECEPTORS AND METHODS OF USE THEREFOR","Provided are isolated TCRs, TCR-like molecules, and portions thereof that bind to phosphopeptide-HLA-A2 complexes. The isolated TCRs, TCR-like molecules, or portions are optionally soluble TCRs, TCR-like molecules, or portions. Also provided are isolated nucleic acids encoding the disclosed TCRs, TCR-like molecules, or portions; host cells that contain the disclosed TCRs, TCR-like molecules, or portions; pharmaceutical compositions that include the disclosed TCRs, TCR-like molecules, portions, nucleic acids, and/or T cells; kits; and methods of using the same.",univ virginia patent found[us],zarling angela[us]; engelhard victor h[us]; cummings kara l[us]; obeng rebecca c[us],20151022;20151210,A61K35/17;A61K38/1774;A61K38/1774;A61K38/19;A61K39/0011;A61K39/0011;A61K45/06;A61K47/6425;C07K14/7051;C07K14/7051;C07K16/2809;G01N33/505;G01N33/566;G01N33/56977;G01N33/574;G01N33/57484;A61K2039/5158;A61K2039/55533;C07K2317/76;A61K35/17;A61K38/1774;A61K38/1774;A61K38/19;A61K39/0011;A61K39/0011;A61K45/06;A61K47/6425;C07K14/7051;C07K14/7051;C07K16/2809;G01N33/505;G01N33/566;G01N33/56977;G01N33/574;G01N33/57484;A61K2039/5158;A61K2039/55533;C07K2317/76
58314255,"TRANSFECTED T-CELLS AND T-CELL RECEPTORS FOR USE IN IMMUNOTHERAPY AGAINST CANCERS","Disclosed are T-cell receptors (TCRs) binding to tumor-associated antigens (TAAs) for targeting cancer cells, T-cells expressing same, methods for producing same, and methods for treating cancers using same. Disclosed are TCRs and their variants that bind to HLA class I or II molecules with a peptide, such as MAG-003 have the amino acid sequence of KVLEHVVRV (SEQ ID NO:1). The description further relates to peptides, proteins, nucleic acids, cells for use in immunotherapeutic methods, the immunotherapy of cancer, and tumor-associated T-cell peptide epitopes, alone or in combination with other tumor-associated peptides that can for example serve as active pharmaceutical ingredients of vaccine compositions that stimulate anti-tumor immune responses, or to stimulate T-cells ex vivo and transfer into patients. Peptides bound to molecules of the major histocompatibility complex (MHC), or peptides as such, can also be targets of antibodies, soluble T-cell receptors, and other binding molecules.",immatics biotechnologies gmbh[de],maurer dominik[de]; bunk sebastian[de]; alten leonie[de],20201029,A61K35/12;A61K35/17;A61K35/17;A61K35/66;A61P35/00;A61P37/02;C07K14/435;C07K14/4748;C07K14/7051;C07K14/7051;C12N5/0636;C12N15/09;C12N15/10;A61K38/00;A61K38/00;C12N2510/00
43569679,"T CELL RECEPTORS SPECIFIC FOR IMMUNODOMINANT CTL EPITOPES OF HCV","The present invention relates generally to the field of immunology. More particularly, aspects of the invention concern the discovery of several T cell receptors (TCRs) that are specific for an immunodominant CTL epitope of hepatitis C virus (HCV). Embodiments include TCRs, DNAs encoding TCRS, methods of making TCRs, and methods of using TCRs to treat, prevent or inhibit hepatitis C virus (HCV) proliferation.",chrontech pharma ab[se]; chen margaret sallberg[se],chen margaret sallberg[se],20110603;20110721,C07K14/7051;A61K38/00;A01K2207/15;A01K2227/105;A01K2267/0387;C12N2740/13043;C12N2770/24211;Y02A50/389;C07K14/7051;A61K38/00;A01K2207/15;A01K2227/105;A01K2267/0387;C12N2740/13043;C12N2770/24211;Y02A50/389
62067761,"NYESO TCR","The present invention relates to an isolated T cell receptor (TCR) specific for NY- ESO-1/LAGE-1 and a polypeptide comprising a functional portion of the TCR. Further implicated are a multivalent TCR complex, a nucleic acid encoding a TCR, a cell expressing the TCR and a pharmaceutical composition comprising the TCR. The invention also refers to the TCR for use as a medicament, in particular to the TCR for use in the treatment of cancer.",medigene immunotherapies gmbh[de],wehner carina[de]; weis manon[de],20190829,C07K14/7051;C07K16/2809
68540963,"MERKEL CELL POLYOMAVIRUS T ANTIGEN-SPECIFIC TCRS AND USES THEREOF","The present disclosure provides binding proteins and TCRs with high affinity and specificity against Merkel cell polyomavirus T antigen epitopes or peptides, T cells expressing such high affinity Merkel cell polyomavirus T antigen specific TCRs, nucleic acids encoding the same, and compositions for use in treating Merkel cell carcinoma.",hutchinson fred cancer res[us]; univ washington[us],chapuis aude[us]; nghiem paul[us]; mcafee megan[us]; miller natalie[us]; paulson kelly[us]; koelle david[us]; schmitt thomas[us]; church candice[us],20191121,A61K35/17;A61K38/20;A61K38/2013;A61K38/2086;A61K38/215;A61K39/395;C07K14/705;C07K14/7051
48539439,"MURINE ANTI-NY-ESO-1 T CELL RECEPTORS","The invention provides an isolated or purified T cell receptor (TCR) having antigenic specificity for NY-ESO-1. Also provided are related polypeptides, proteins, nucleic acids, recombinant expression vectors, isolated host cells, populations of cells, antibodies, or antigen binding portions thereof, and pharmaceutical compositions. The invention further provides a method of detecting the presence of cancer in a mammal and a method of treating or preventing cancer in a mammal using the inventive TCRs or related materials.",us health[us],parkhurst maria r[us]; morgan richard a[us]; rosenberg steven a[us]; rosati shannon faith[us],20131128,C07K14/7051;C07K16/3069;A61K38/00;C07K16/18;C07K16/2809;C07K7/06;C07K7/08;G01N33/57492;C07K2317/20;C07K2317/21;C07K2319/00;G01N2333/7051
58097342,"EBV antigen specific T-cell receptor and use thereof","The present invention relates to an EBV antigen specific T-cell receptor and uses thereof and, more specifically, to an LMP-1 antigen specific T-cell of EBV using a T-cell receptor showing high reactivity to an LMP-1 specific antigen crystallizer of EBV. Also, the LMP-1 antigen specific T-cell of EBV is used in adoptive immunity treatment, thereby being used for preventing or treating EBV-related diseases.",the catholic univ of korea industry-academic coop found[kr],kim tai gyu[kr]; cho hyun il[kr],20170309,A61K38/1774;A61K38/1774;C07K14/7051;C07K14/7051;C12N2710/16211;C12N2710/16211;C12N2710/16222;C12N2710/16222;C12N2740/16043;C12N2740/16043
57320750,"融合タンパク質を用いたＴＣＲの再プログラミングのための組成物及び方法","",,,20180614,A61K39/0011;A61K39/0011;C07K14/7051;C07K14/7051;C07K14/7051;C07K14/70578;C07K14/70578;C07K14/70578;C07K16/2803;C07K16/2803;C07K16/2803;C07K16/2878;C07K16/2878;C07K16/2878;C07K16/30;C07K16/30;C07K16/30;C07K16/40;C07K16/40;C07K16/40;C12N5/0636;C12N5/0636;A61K2039/505;A61K2039/505;A61K2039/505;A61K2039/5158;A61K2039/5158;C07K2317/24;C07K2317/56;C07K2317/622;C07K2317/622;C07K2317/73;C07K2317/73;C07K2319/00;C07K2319/00;C07K2319/02;C07K2319/03;C07K2319/03;C07K2319/10;C12N2510/00;C12N2510/00
55133167,"PEPTIDES DERIVED FROM KALLIKREIN 4","The present invention relates to novel peptides derived from Kallikrein-4 (KLK4), complexes comprising such peptides bound to recombinant MHC molecules, and cells presenting said peptide in complex with MHC molecules. Also provided by the present invention are binding moieties that bind to the peptides and/or complexes of the invention. Such moieties are useful for the development of immunotherapeutic reagents for the treatment of diseases such as cancer.",immunocore ltd[gb]; adaptimmune ltd[gb],powlesland alex[gb]; chester fiona[gb]; popa alina[gb],20210218,A61K39/00116;A61K39/00116;C07K14/7051;C07K14/7051;C07K14/70539;C07K14/70539;C07K16/40;C07K19/00;C07K19/00;C12N9/6445;C12N9/6445;G01N33/573;A61K38/00;A61K38/00;A61K2039/605;A61K2039/605;C07K2319/00;C07K2319/00
66286535,"ENGINEERED REGULATORY T CELL","The present invention relates to an engineered regulatory T cell (Treg) comprising a T cell receptor (TCR) which is capable of specifically binding to a myelin basic protein (MBP) peptide or variant or fragment thereof when the peptide is presented by a major histocompatibility complex (MHC) molecule. The present invention further relates to methods for providing an engineered Treg and to methods and uses of said engineered Treg and vectors and kits of vectors encoding said Treg.",ucl business ltd[gb],stauss hans[gb]; wright graham p[gb]; mcgovern jenny l[gb],20210520,A61K35/17;A61K35/17;A61K35/17;A61K35/17;A61K35/17;A61P37/06;C07K14/4702;C07K14/4713;C07K14/4713;C07K14/4713;C07K14/7051;C07K14/7051;C07K14/7051;C07K14/7051;C07K14/7051;C07K14/70539;C12N5/0637;C12N5/0637;C12N5/0637;C12N5/0637;C12N5/0637;C12N15/85;C12N15/87;A61K2035/122;A61K2035/122;A61K2035/122;A61K2035/122;A61K38/00;A61K2039/577;A61K2039/577;A61K2039/577;C12N2501/60;C12N2501/60;C12N2501/60;C12N2501/60;C12N2510/00;C12N2510/00;C12N2510/00;C12N2510/00;C12N2510/00
